,S.N,candidate_name,party_name,EVM Votes,Postal Votes,secured_votes,% of Votes,state_name,constituency_name,constituency_number
6799,28,NOTA,N,9256,152,9408,0.89,Tamil Nadu,VIRUDHUNAGAR,34
6800,1,GODAM NAGESH,B,558936,9232,568168,45.98,Telangana,Adilabad,1
6801,2,ATHRAM SUGUNA,I,472333,5183,477516,38.65,Telangana,Adilabad,1
6802,3,ATHRAM SAKKU,B,136463,837,137300,11.11,Telangana,Adilabad,1
6803,4,MALOTHU SYAMLAL NAYAK,A,7489,10,7499,0.61,Telangana,Adilabad,1
6804,5,MESRAM JANGUBAPU,B,6689,55,6744,0.55,Telangana,Adilabad,1
6805,6,RATHOD SUBASH,I,6434,94,6528,0.53,Telangana,Adilabad,1
6806,7,BUKYA JAIVANTH RAO,I,6427,19,6446,0.52,Telangana,Adilabad,1
6807,8,CHAVAN SUDHARSHAN,A,4618,26,4644,0.38,Telangana,Adilabad,1
6808,9,GANGADEVI MESRAM,D,3445,23,3468,0.28,Telangana,Adilabad,1
6809,10,N. TIRUPATI,V,2284,8,2292,0.19,Telangana,Adilabad,1
6810,11,KODAPA VAMAN RAO,G,1677,8,1685,0.14,Telangana,Adilabad,1
6811,12,GEDAM. SAGAR,I,1537,8,1545,0.13,Telangana,Adilabad,1
6812,13,NOTA,N,11650,112,11762,0.95,Telangana,Adilabad,1
6813,1,CHAMALA KIRAN KUMAR REDDY,I,623762,5381,629143,44.89,Telangana,Bhongir,14
6814,2,DR. BOORA NARSAIAH GOUD,B,401513,5460,406973,29.04,Telangana,Bhongir,14
6815,3,KYAMA MALLESH,B,254838,1349,256187,18.28,Telangana,Bhongir,14
6816,4,MAHAMD JAHANGIR,C,28412,318,28730,2.05,Telangana,Bhongir,14
6817,5,RAMESH GOUD THALLAPELLY,A,8130,16,8146,0.58,Telangana,Bhongir,14
6818,6,AITARAJU ABENDER,B,7703,66,7769,0.55,Telangana,Bhongir,14
6819,7,ASURA BALU,I,5747,3,5750,0.41,Telangana,Bhongir,14
6820,8,PULIGILLA BIXAPATHI YADAV,N,4718,-,4718,0.34,Telangana,Bhongir,14
6821,9,BUSHIPAKA VENKATAIAH,I,4674,1,4675,0.33,Telangana,Bhongir,14
6822,10,POOSA SRINIVAS,T,4431,2,4433,0.32,Telangana,Bhongir,14
6823,11,NARENDRAA VEMULA,J,4303,1,4304,0.31,Telangana,Bhongir,14
6824,12,KONGARI LINGA SWAMY,D,4029,64,4093,0.29,Telangana,Bhongir,14
6825,13,TARIGOPPULA MAHENDER,S,3088,1,3089,0.22,Telangana,Bhongir,14
6826,14,KARINGULA YADAGIRI,I,2607,5,2612,0.19,Telangana,Bhongir,14
6827,15,BETHI NARENDER,I,2168,-,2168,0.15,Telangana,Bhongir,14
